,cloud_name_x,label_x,cloud_name_y,label_y
0,VID_20220217_134059_mod6.ply,4,VID_20220217_134059_mod6.ply,4
1,VID_20220217_134059_mod6.ply,4,VID_20220217_124116_mod6.ply,6
2,VID_20220217_134059_mod6.ply,4,VID_20220217_143010_mod8.ply,7
3,VID_20220217_134059_mod6.ply,4,VID_20220217_101324_mod8.ply,10
4,VID_20220217_134059_mod6.ply,4,VID_20220217_131129_mod8.ply,2
5,VID_20220217_134059_mod6.ply,4,VID_20220217_175741_mod8.ply,8
6,VID_20220217_134059_mod6.ply,4,VID_20220217_124116_mod8.ply,6
7,VID_20220217_134059_mod6.ply,4,VID_20220217_182816_mod4.ply,0
8,VID_20220217_134059_mod6.ply,4,VID_20220217_182816_mod8.ply,0
9,VID_20220217_134059_mod6.ply,4,VID_20220217_101324_mod6.ply,10
10,VID_20220217_134059_mod6.ply,4,VID_20220217_175741_mod6.ply,8
11,VID_20220217_134059_mod6.ply,4,VID_20220217_153655_mod6.ply,5
12,VID_20220217_134059_mod6.ply,4,VID_20220217_134059_mod4.ply,4
13,VID_20220217_134059_mod6.ply,4,VID_20220217_101324_mod4.ply,10
14,VID_20220217_134059_mod6.ply,4,VID_20220217_131129_mod4.ply,2
15,VID_20220217_134059_mod6.ply,4,VID_20220217_134059_mod8.ply,4
16,VID_20220217_134059_mod6.ply,4,VID_20220217_154128_mod6.ply,3
17,VID_20220217_134059_mod6.ply,4,VID_20220217_124116_mod4.ply,6
18,VID_20220217_134059_mod6.ply,4,VID_20220217_182816_mod6.ply,0
19,VID_20220217_134059_mod6.ply,4,VID_20220217_143010_mod6.ply,7
20,VID_20220217_134059_mod6.ply,4,VID_20220217_165020_mod6.ply,9
21,VID_20220217_134059_mod6.ply,4,VID_20220217_154128_mod8.ply,3
22,VID_20220217_134059_mod6.ply,4,VID_20220217_154128_mod4.ply,3
23,VID_20220217_134059_mod6.ply,4,VID_20220217_181455_mod6.ply,1
24,VID_20220217_134059_mod6.ply,4,VID_20220217_143010_mod4.ply,7
25,VID_20220217_134059_mod6.ply,4,VID_20220217_153655_mod8.ply,5
26,VID_20220217_134059_mod6.ply,4,VID_20220217_181455_mod8.ply,1
27,VID_20220217_134059_mod6.ply,4,VID_20220217_175741_mod4.ply,8
